tipoAss;numeroDoContrato;tipoDeContrato;codigoDaPessoa;codigoDaPessoaVendedor;codigoTipoAssinatura;dataDeValidadeInicial;dataDevalidadeFinal;qtdJornaisContrato;numeroDeExemplares;numeroDeExemplaresEntregues;numeroDeExemplaresPagos;valorTotal;valorDoDescontoConcedido;quantidadeDeParcelasDoContrato;precoMedioB30;valorTipoDaAssinatura;codigoDoPlanoDePagamento;codigoDaCondicaoDePagamento;codigoDoProdutoServico;descricaoDoProdutoServico;descricaoTipoDeAssinatura;quantidadeDeDias;quantidadeDeExemplares;descricaoDoPlanoDePagamento;nomeDoMunicipio;mesRenovou;mesRenovara;precoFaixa;modalidade;cidadeEntrega;idRenovacaoAutomatica;latitude;longitude;codigoDoMunicipio;codigoDoSetorDeEntrega;nomeDoBairro;sexo;Tipo;Idade;Tempo;Status;codigoDaPessoa
Combo;549972;R;179968;1;12;29/04/2023 00:00;26/04/2024 00:00;1;104;98;88;484;156;12;40,33333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;55;Parque Belvedere;M;F;83;18;1;8507
Impressa;549917;R;107426;1;5;29/04/2023 00:00;04/05/2024 00:00;1;261;239;252;720;312;12;60;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/05;09 de R$ 60 a R$ 64.99;Anual;São José do Rio Preto;VERDADEIRO;-20.7799135;-49.3405809;9659;55;Parque Belvedere;M;F;124;29;1;8518
Combo;549782;R;67039;1;12;29/04/2023 00:00;26/04/2024 00:00;1;104;98;88;520;120;12;43,33333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;43;Parque Estoril;M;F;77;24;1;8555
Impressa;549911;R;42421;1;5;29/04/2023 00:00;27/04/2024 00:00;1;261;243;231;936;96;12;78;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;-20,790968;-49,416086;9659;63;Parque Residencial Atlântica;M;F;81;25;1;8614
Impressa;551069;I;103636;1;5;29/04/2023 00:00;06/05/2024 00:00;1;261;237;231;948;84;12;79;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;-20,811281;-49,387287;9659;53;Boa Vista;M;F;86;26;1;8655
Combo;549876;R;74031;1;12;29/04/2023 00:00;26/04/2024 00:00;1;104;98;96;436;204;12;36,33333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;43;Estância Navarrete (Zona Rural);M;F;70;25;1;8679
Impressa;549053;R;70433;1;5;29/04/2023 00:00;27/04/2024 00:00;1;261;242;261;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,831605;-49,372104;9659;43;Jardim Santa Lúcia;M;F;48;23;1;8721
Combo;549193;R;73348;1;12;29/04/2023 00:00;27/04/2024 00:00;1;104;98;80;640;0;12;53,33333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/03;2024/04;11 de R$ 50 a R$ 54.99;Anual;São José do Rio Preto;FALSO;;;9659;55;Residencial Marcia;M;F;65;28;1;8987
Combo;550907;I;39657;76316;12;29/04/2023 00:00;26/04/2024 00:00;1;104;98;88;458,8;181,2;12;38,23333333;468;226;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 RP-CBO-ANU (SA|DO) - IMP;São José do Rio Preto;2023/04;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20,771387;-49,361534;9659;51;Jardim Seyon;M;F;47;19;1;9000
Impressa;550009;R;6511;1;5;29/04/2023 00:00;29/04/2024 00:00;1;261;242;237;900;132;12;75;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;-20,827465;-49,345352;9659;55;Chácara Jockey Club (Zona Rural);M;F;49;25;1;9053
Digital;549382;R;24798;1;10;29/04/2023 00:00;27/04/2024 00:00;1;261;246;231;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;FALSO;;;9659;55;Parque Belvedere;F;F;52;27;1;9060
Combo;551076;I;127519;76316;12;29/04/2023 00:00;31/05/2024 00:00;1;104;88;88;578,8;121,2;12;48,23333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;Olímpia;2023/04;2024/05;12 de R$ 45 a R$ 49.99;Anual;Olímpia;VERDADEIRO;-20.7327140;-48.9044658;9425;347;Centro;M;F;79;30;1;9061
Impressa;549273;R;34345;1;5;29/04/2023 00:00;27/04/2024 00:00;1;261;243;261;1128;0;1;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Bady Bassitt;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Bady Bassitt;FALSO;-20.9182598;-49.4463472;8937;283;A DEFINIR;F;F;85;26;1;9129
Combo;551070;I;32875;76316;12;29/04/2023 00:00;27/04/2024 00:00;1;104;97;64;578,8;121,2;12;48,23333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;NEVES PAULISTA;2023/04;2024/04;12 de R$ 45 a R$ 49.99;Anual;NEVES PAULISTA;VERDADEIRO;-20.8460066;-49.6204714;9397;341;A DEFINIR;M;F;63;22;1;9220
Combo;549218;R;33064;1;12;29/04/2023 00:00;27/04/2024 00:00;1;104;98;88;700;0;12;58,33333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;Cedral;2023/03;2024/04;10 de R$ 55 a R$ 59.99;Anual;Cedral;VERDADEIRO;-20.9024620;-49.2681648;9056;299;A DEFINIR;M;F;59;16;1;9331
Combo;549271;R;23427;1;12;29/04/2023 00:00;27/04/2024 00:00;1;104;98;88;700;0;12;58,33333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;Orindiúva;2023/03;2024/04;10 de R$ 55 a R$ 59.99;Anual;Orindiúva;FALSO;-20.1821666;-49.3543982;9430;349;A DEFINIR;M;F;70;24;1;9382
Impressa;549678;R;129270;1;5;29/04/2023 00:00;27/04/2024 00:00;1;261;243;253;1128;0;11;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;NEVES PAULISTA;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;NEVES PAULISTA;VERDADEIRO;-20.8413976;-49.6298983;9397;341;A DEFINIR;M;F;81;22;1;9400
Combo;550000;R;179885;1;12;29/04/2023 00:00;26/04/2024 00:00;1;104;98;88;436;264;12;36,33333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;Olímpia;2023/03;2024/04;13 Menos de R$ 45;Anual;Olímpia;VERDADEIRO;;;9425;347;A DEFINIR;M;F;87;25;1;9402
Digital;550007;R;36273;1;10;29/04/2023 00:00;27/04/2024 00:00;1;261;247;210;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;Mirassol;2023/03;2024/04;13 Menos de R$ 45;Anual;Mirassol;VERDADEIRO;-20.8149512;-49.5217375;9366;334;A DEFINIR;M;F;76;29;1;9407
Combo;550983;I;75610;72996;12;29/04/2023 00:00;26/04/2024 00:00;1;104;98;102;578,8;121,2;6;48,23333333;468;238;12;1;DIARIO DA REGIAO;ANU 2 DIAS  - IMPRESSO;360;104;2018 REG-CBO-ANU (SA|DO) - IMP;Santa Fé do Sul;2023/04;2024/04;12 de R$ 45 a R$ 49.99;Anual;Santa Fé do Sul;FALSO;;;9606;384;TERRAS ALTAS DO SOL;M;F;75;26;1;9408
Impressa;549182;R;179966;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;210;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Catanduva;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Catanduva;FALSO;;;9052;297;Centro;M;F;75;26;1;9408
Impressa;549988;R;39489;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;231;864;168;12;72;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;07 de R$ 70 a R$ 74.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;57;Jardim São Paulo;M;F;83;28;1;9448
Impressa;549270;R;156825;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;251;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;;;9659;53;Centro;F;F;89;22;1;9450
Impressa;549280;R;42825;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;241;210;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,815944;-49,367007;9659;11;Vila Ercília;F;F;80;23;1;9509
Impressa;549045;R;22891;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;261;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,812108;-49,38542;9659;23;Parque Industrial;F;F;80;23;1;9509
Impressa;549269;R;34259;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;241;258;1032;0;6;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;;;9659;11;Jardim Europa;M;F;80;26;1;9512
Impressa;549894;R;58990;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;241;210;900;132;12;75;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;-20,843435;-49,379797;9659;43;São Francisco;F;F;34;26;1;9536
Digital;549440;R;136256;1;10;30/04/2023 00:00;29/04/2024 00:00;1;261;246;261;202,8;0;1;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São Paulo;2023/03;2024/04;13 Menos de R$ 45;Anual;São Paulo;VERDADEIRO;-23.5852150;-46.8050664;9668;271;Centro;F;F;34;26;1;9536
Digital;549381;R;39988;1;10;30/04/2023 00:00;29/04/2024 00:00;1;261;243;261;202,8;0;1;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;FALSO;;;9659;43;Jardim Bosque das Vivendas;M;F;59;28;1;9566
Impressa;549074;R;16145;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;253;1128;0;11;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Icém;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Icém;VERDADEIRO;-20.3500226;-49.1926347;9202;314;A DEFINIR;M;F;82;26;1;9641
Impressa;549048;R;34577;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;261;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.7946667;-49.3563037;9659;51;Vila Maceno;M;F;83;25;1;9643
Impressa;549666;R;7469;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;253;1128;0;11;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Ibirá;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Ibirá;VERDADEIRO;-21.0835056;-49.2452930;9195;312;A DEFINIR;F;F;47;18;1;9678
Impressa;549278;R;73766;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;160;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Urupês;2023/03;2024/04;03 de R$ 90 a R$ 94.99;Anual;Urupês;FALSO;-21.2065667;-49.2902181;9763;390;A DEFINIR;F;F;47;18;1;9678
Impressa;549983;R;22028;1;5;30/04/2023 00:00;30/04/2024 00:00;1;261;241;231;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8093755;-49.3542694;9659;55;Parque Residencial Damha;M;F;51;16;1;9737
Impressa;549051;R;42895;1;5;30/04/2023 00:00;29/04/2024 00:00;1;261;242;261;1032;0;3;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;Engenheiro Schmitt;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;Engenheiro Schmitt;VERDADEIRO;-20,862365;-49,327668;9120;11;A DEFINIR;F;F;74;25;1;9752
Combo;549921;R;8456;1;11;02/05/2023 00:00;29/04/2024 00:00;1;156;149;143;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;11;Conjunto Habitacional Cristo Rei;M;F;49;26;1;9810
Digital;550088;R;179538;1;10;02/05/2023 00:00;30/04/2024 00:00;1;261;243;210;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/04;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;51;Vila Maceno;M;F;44;27;1;9813
Impressa;550399;R;160879;1;5;02/05/2023 00:00;01/05/2024 00:00;1;261;239;231;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20.8209971;-49.4096549;9659;53;Jardim Maria Cândida;M;F;49;20;1;9816
Combo;549985;R;31420;1;11;02/05/2023 00:00;29/04/2024 00:00;1;156;148;143;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;55;Jardim Yolanda;F;F;61;17;1;9852
Impressa;550191;R;67177;1;5;02/05/2023 00:00;30/04/2024 00:00;1;261;241;200;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,797601;-49,356433;9659;51;Jardim São Paulo;M;F;51;17;1;9857
Combo;549777;I;57418;1;11;02/05/2023 00:00;29/04/2024 00:00;1;156;145;143;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20,813433;-49,372853;9659;11;Vila Ercília;M;F;92;25;1;9868
Combo;549973;R;179968;1;11;02/05/2023 00:00;29/04/2024 00:00;1;156;148;143;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;55;Parque Belvedere;M;F;79;27;1;9873
Combo;550908;I;39657;76316;11;02/05/2023 00:00;29/04/2024 00:00;1;156;147;143;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/04;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;-20,771387;-49,361534;9659;51;Jardim Seyon;M;F;74;26;1;9897
Combo;551077;I;127519;76316;11;02/05/2023 00:00;29/04/2024 00:00;1;156;149;143;20;0;12;1,666666667;780;239;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;Olímpia;2023/04;2024/04;13 Menos de R$ 45;Anual;Olímpia;VERDADEIRO;-20.7327140;-48.9044658;9425;347;Centro;M;F;74;16;1;9904
Combo;550678;R;182329;1;11;02/05/2023 00:00;30/04/2024 00:00;1;156;149;132;20;0;12;1,666666667;780;233;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;Mirassol;2023/04;2024/04;13 Menos de R$ 45;Anual;Mirassol;FALSO;;;9366;334;A DEFINIR;F;F;79;26;1;9908
Combo;551071;I;32875;76316;11;02/05/2023 00:00;29/04/2024 00:00;1;156;149;104;20;0;12;1,666666667;780;239;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;NEVES PAULISTA;2023/04;2024/04;13 Menos de R$ 45;Anual;NEVES PAULISTA;VERDADEIRO;-20.8460066;-49.6204714;9397;341;A DEFINIR;M;F;81;28;1;9925
Impressa;550412;R;92719;1;5;02/05/2023 00:00;30/04/2024 00:00;1;261;241;168;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Nipoã;2023/04;2024/04;03 de R$ 90 a R$ 94.99;Anual;Nipoã;FALSO;-20.9146719;-49.7772044;9399;343;A DEFINIR;M;F;81;26;1;9929
Impressa;550414;R;65142;1;5;02/05/2023 00:00;01/05/2024 00:00;1;261;240;258;1128;0;6;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;NEVES PAULISTA;2023/04;2024/05;03 de R$ 90 a R$ 94.99;Anual;NEVES PAULISTA;FALSO;-20.8413857;-49.6297152;9397;341;A DEFINIR;F;F;80;24;1;9930
Combo;550001;R;179885;1;11;02/05/2023 00:00;29/04/2024 00:00;1;156;149;143;20;0;12;1,666666667;780;239;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;Olímpia;2023/03;2024/04;13 Menos de R$ 45;Anual;Olímpia;VERDADEIRO;;;9425;347;A DEFINIR;F;F;87;26;1;9948
Impressa;550926;I;72274;2724;5;02/05/2023 00:00;06/05/2024 00:00;1;261;237;261;900;228;1;75;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Monte Azul Paulista;2023/04;2024/05;06 de R$ 75 a R$ 79.99;Anual;Monte Azul Paulista;VERDADEIRO;-20.9020946;-48.6409391;9379;340;Centro;F;F;66;23;1;9964
Combo;550984;I;75610;72996;11;02/05/2023 00:00;29/04/2024 00:00;1;156;149;151;20;0;6;1,666666667;780;239;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;Santa Fé do Sul;2023/04;2024/04;13 Menos de R$ 45;Anual;Santa Fé do Sul;FALSO;;;9606;384;TERRAS ALTAS DO SOL;M;F;119;28;1;9996
Combo;549383;R;23427;1;11;02/05/2023 00:00;30/04/2024 00:00;1;156;149;132;20;0;12;1,666666667;780;239;12;3;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 REG-CBO-ANU (TE|QA|QI|SE) - DIG;Orindiúva;2023/03;2024/04;13 Menos de R$ 45;Anual;Orindiúva;FALSO;-20.1821666;-49.3543982;9430;349;A DEFINIR;M;F;71;30;1;10008
Impressa;551089;R;1201;1;5;03/05/2023 00:00;03/05/2024 00:00;1;261;239;252;960;72;12;80;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;05 de R$ 80 a R$ 84.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;334;Residencial Gabriela;M;F;78;24;1;10024
Impressa;549639;R;21644;1;5;03/05/2023 00:00;05/06/2024 00:00;1;261;222;252;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/06;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,820478;-49,362282;9659;11;Parque Residencial Comendador Mancor Daud;F;F;76;26;1;10025
Impressa;550193;R;52525;1;5;03/05/2023 00:00;01/05/2024 00:00;1;261;239;212;1032;0;1;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,817138;-49,364123;9659;11;Parque Celeste;M;F;79;20;1;10039
Digital;550761;I;59786;1;10;03/05/2023 00:00;01/05/2024 00:00;1;261;241;210;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/04;2024/05;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;11;Vila Ercília;M;F;85;16;1;10057
Digital;550093;R;178037;1;10;03/05/2023 00:00;01/05/2024 00:00;1;261;240;231;202,8;0;12;16,9;1251,75;229;12;3;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/04;2024/05;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;0;Parque Celeste;M;F;85;16;1;10057
Impressa;550435;R;22473;1;5;03/05/2023 00:00;04/05/2024 00:00;1;261;239;225;1032;0;3;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,799901;-49,411162;9659;63;Parque Residencial Lauriano Tebar;M;F;80;25;1;10099
Impressa;550692;R;161281;1;5;03/05/2023 00:00;01/05/2024 00:00;1;261;240;189;648;384;12;54;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;11 de R$ 50 a R$ 54.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;55;Residencial Marcia;F;F;52;17;1;10120
Impressa;550429;R;45541;1;5;03/05/2023 00:00;01/05/2024 00:00;1;261;240;252;1128;0;12;94;1251,75;230;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 REG-ANU;Nova Aliança;2023/04;2024/05;03 de R$ 90 a R$ 94.99;Anual;Nova Aliança;FALSO;-21.0188189;-49.4990161;9403;344;Centro;M;F;90;27;1;10158
Impressa;550196;R;34103;1;5;04/05/2023 00:00;04/05/2024 00:00;1;261;239;256;1032;0;8;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,810948;-49,372162;9659;51;Jardim dos Seixas;M;F;75;26;1;10161
Impressa;550421;R;52640;1;5;04/05/2023 00:00;08/05/2024 00:00;1;261;235;187;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;;;9659;53;Jardim Roseana;M;F;75;26;1;10161
Impressa;550455;R;46883;1;5;04/05/2023 00:00;13/05/2024 00:00;1;261;233;120;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;;;9659;23;Parque Industrial;M;F;78;25;1;10163
Impressa;550136;R;73670;1;5;04/05/2023 00:00;03/05/2024 00:00;1;261;239;208;1032;0;10;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,814324;-49,381727;9659;23;Centro;M;F;97;27;1;10190
Impressa;550416;R;135698;1;5;04/05/2023 00:00;13/05/2024 00:00;1;261;232;210;1032;0;12;86;1251,75;225;12;1;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/04;2024/05;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,861924;-49,409136;9659;22;Fazenda Palhinha (Zona Rural);M;F;80;30;1;10201
