tipoAss;tipoDeContrato;codigoDaPessoa;codigoTipoAssinatura;dataDeValidadeInicial;dataDevalidadeFinal;qtdJornaisContrato;numeroDeExemplares;numeroDeExemplaresEntregues;numeroDeExemplaresPagos;valorTotal;valorDoDescontoConcedido;quantidadeDeParcelasDoContrato;precoMedioB30;valorTipoDaAssinatura;codigoDoPlanoDePagamento;descricaoDoProdutoServico;descricaoTipoDeAssinatura;quantidadeDeDias;quantidadeDeExemplares;descricaoDoPlanoDePagamento;nomeDoMunicipio;mesRenovou;mesRenovara;precoFaixa;modalidade;cidadeEntrega;idRenovacaoAutomatica;latitude;longitude;codigoDoMunicipio;codigoDoSetorDeEntrega;nomeDoBairro;sexo;Tipo;Idade;Tempo;Status;codigoDaPessoa
Impressa;R;49369;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,838147;-49,346703;9659;11;Conjunto Habitacional Cristo Rei;M;F;54;19;1;817
Impressa;R;4405;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;252;780;252;12;65;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;08 de R$ 65 a R$ 69.99;Anual;São José do Rio Preto;VERDADEIRO;-20,821861;-49,408378;9659;53;Jardim Maria Cândida;M;F;78;26;1;843
Digital;I;182040;10;04/04/2023 00:00;02/04/2024 00:00;1;261;261;252;166,8;36;12;13,9;1251,75;229;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/04;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;VERDADEIRO;;;9659;22;Jardim Morumbi;F;F;73;24;1;870
Impressa;R;170803;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;231;936;96;12;78;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;23;Vila Imperial;M;F;61;15;1;899
Impressa;R;6147;5;04/04/2023 00:00;03/04/2024 00:00;1;261;259;258;1032;0;6;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,808833;-49,394115;9659;53;Vila Maria;M;F;60;25;1;925
Digital;R;71740;10;04/04/2023 00:00;02/04/2024 00:00;1;261;262;252;202,8;0;12;16,9;1251,75;229;DIARIO DA REGIAO - DIGITAL;ANU 5 DIAS - DIGITAL;360;261;2018 ANU-DIG;São José do Rio Preto;2023/03;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;FALSO;-20.8148002;-49.3852259;9659;23;Centro;M;F;60;25;1;925
Combo;R;53793;11;04/04/2023 00:00;02/04/2024 00:00;1;156;161;145;20;0;12;1,666666667;780;233;DIARIO DA REGIAO - DIGITAL;ANU 3 DIAS - DIGITAL;360;156;2018 RP-CBO-ANU (TE|QA|QI|SE) - DIG;São José do Rio Preto;2023/02;2024/04;13 Menos de R$ 45;Anual;São José do Rio Preto;FALSO;-20,821053;-49,385572;9659;23;Vila Redentora;F;F;95;26;1;951
Impressa;R;7267;5;04/04/2023 00:00;06/04/2024 00:00;1;261;258;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/02;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,843117;-49,353224;9659;43;Estância Jóckei Club;F;F;67;22;1;989
Impressa;R;6165;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,802306;-49,391705;9659;53;Parque Industrial;M;F;56;22;1;1019
Impressa;R;22208;5;04/04/2023 00:00;13/04/2024 00:00;1;261;254;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,800535;-49,373019;9659;51;Vila Dias;M;F;56;22;1;1019
Impressa;R;9382;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,840842;-49,374784;9659;43;São Francisco;M;F;56;25;1;1064
Impressa;R;160558;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;252;924;108;12;77;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;06 de R$ 75 a R$ 79.99;Anual;São José do Rio Preto;VERDADEIRO;;;9659;43;São Francisco;M;F;57;28;1;1082
Impressa;R;24876;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,848497;-49,397472;9659;22;Jardim Vivendas;M;F;57;28;1;1082
Impressa;R;33955;5;04/04/2023 00:00;03/04/2024 00:00;1;261;259;208;1032;0;8;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20,755721;-49,357992;9659;55;Jardim Felicidade;M;F;79;26;1;1170
Impressa;R;39105;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;253;1032;0;11;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,827321;-49,340364;9659;55;Morada Campestre;M;F;79;26;1;1170
Impressa;R;11795;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;252;1032;0;12;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;FALSO;-20.7749040;-49.3365486;9659;55;Parque da Liberdade;M;F;84;26;1;1174
Impressa;R;41127;5;04/04/2023 00:00;02/04/2024 00:00;1;261;261;260;1032;0;10;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,771126;-49,331723;9659;55;Parque da Liberdade;M;F;81;26;1;1178
Impressa;R;29549;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;261;1032;0;3;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20,834052;-49,406696;9659;22;Jardim Tarraf;M;F;88;26;1;1201
Impressa;R;10039;5;04/04/2023 00:00;02/04/2024 00:00;1;261;260;260;1032;0;4;86;1251,75;225;DIARIO DA REGIAO;ANUAL;360;261;2018 RP-ANU;São José do Rio Preto;2023/03;2024/04;04 de R$ 85 a R$ 89.99;Anual;São José do Rio Preto;VERDADEIRO;-20.8335014;-49.4064414;9659;22;Jardim Tarraf;M;F;74;26;1;1206
